Terapia,Grupo,Probabilidad,Umbral
3TC_ABC__DRV_c,PI,0.007066666666666666,27465557.57878788
3TC_ABC__DRV_r,PI,0.029333333333333333,27465557.57878788
3TC__DRV_c,PI,0.007266666666666667,27465557.57878788
3TC__DRV_r,PI,0.0309,27465557.57878788
3TC__DTG,INSTI,0.06906666666666667,27465557.57878788
3TC__FTC__DRV_c,PI,0.0013,27465557.57878788
3TC__FTC__DRV_r,PI,0.0029333333333333334,27465557.57878788
ABC_3TC_DTG,INSTI,0.0637,27465557.57878788
ABC_3TC__ATV_r,PI,0.040266666666666666,27465557.57878788
ABC_3TC__DRV_r,PI,0.0289,27465557.57878788
ABC_3TC__DTG,INSTI,0.0694,27465557.57878788
ABC_3TC__EFV,NNRTI,0.045233333333333334,27465557.57878788
ABC_3TC__LPV_r,PI,0.025666666666666667,27465557.57878788
ABC_3TC__NVP,NNRTI,0.057866666666666663,27465557.57878788
ABC_3TC__RAL,INSTI,0.029633333333333334,27465557.57878788
AZT_3TC_NVP,NNRTI,0.05583333333333333,27465557.57878788
AZT_3TC__ATV_r,PI,0.037233333333333334,27465557.57878788
AZT_3TC__LPV_r,PI,0.028266666666666666,27465557.57878788
AZT_3TC__NVP,NNRTI,0.058166666666666665,27465557.57878788
DRV_c,PI,0.009366666666666667,27465557.57878788
DTG_3TC,INSTI,0.0,27465557.57878788
TAF_FTC_BIC,INSTI,0.0,27465557.57878788
TAF_FTC_EVG_c,INSTI,0.0,27465557.57878788
TAF_FTC_RPV,NNRTI,0.0,27465557.57878788
TAF_FTC__DOR,NNRTI,0.0,27465557.57878788
TAF_FTC__DRV_c,PI,0.0,27465557.57878788
TAF_FTC__DRV_r,PI,0.0,27465557.57878788
TAF_FTC__DTG,INSTI,0.0,27465557.57878788
TAF_FTC__RAL,INSTI,0.0,27465557.57878788
TAF_FTC__RPV,NNRTI,0.0,27465557.57878788
TAF__DRV_c,PI,6.666666666666667e-05,27465557.57878788
TDF_FTC_EVG_c,INSTI,0.05163333333333334,27465557.57878788
TDF_FTC_RPV,NNRTI,0.022433333333333333,27465557.57878788
TDF_FTC__ATV_r,PI,0.027133333333333332,27465557.57878788
TDF_FTC__DOR,NNRTI,0.0,27465557.57878788
TDF_FTC__DRV_c,PI,0.004966666666666667,27465557.57878788
TDF_FTC__DRV_r,PI,0.02,27465557.57878788
TDF_FTC__DTG,INSTI,0.0516,27465557.57878788
TDF_FTC__EFV,NNRTI,0.04123333333333333,27465557.57878788
TDF_FTC__LPV_r,PI,0.021466666666666665,27465557.57878788
TDF_FTC__NVP,NNRTI,0.042466666666666666,27465557.57878788
TDF_FTC__RAL,INSTI,0.0191,27465557.57878788
TDF_FTC__RPV,NNRTI,0.0006,27465557.57878788
3TC_ABC__DRV_c,PI,0.007066666666666666,28262639.363636367
3TC_ABC__DRV_r,PI,0.029366666666666666,28262639.363636367
3TC__DRV_c,PI,0.007233333333333333,28262639.363636367
3TC__DRV_r,PI,0.0308,28262639.363636367
3TC__DTG,INSTI,0.06963333333333334,28262639.363636367
3TC__FTC__DRV_c,PI,0.0014333333333333333,28262639.363636367
3TC__FTC__DRV_r,PI,0.0033,28262639.363636367
ABC_3TC_DTG,INSTI,0.06433333333333334,28262639.363636367
ABC_3TC__ATV_r,PI,0.039733333333333336,28262639.363636367
ABC_3TC__DRV_r,PI,0.028733333333333333,28262639.363636367
ABC_3TC__DTG,INSTI,0.06986666666666666,28262639.363636367
ABC_3TC__EFV,NNRTI,0.044833333333333336,28262639.363636367
ABC_3TC__LPV_r,PI,0.0255,28262639.363636367
ABC_3TC__NVP,NNRTI,0.05726666666666667,28262639.363636367
ABC_3TC__RAL,INSTI,0.030766666666666668,28262639.363636367
AZT_3TC_NVP,NNRTI,0.0552,28262639.363636367
AZT_3TC__ATV_r,PI,0.03696666666666667,28262639.363636367
AZT_3TC__LPV_r,PI,0.028,28262639.363636367
AZT_3TC__NVP,NNRTI,0.0575,28262639.363636367
DRV_c,PI,0.009466666666666667,28262639.363636367
DTG_3TC,INSTI,0.0,28262639.363636367
TAF_FTC_BIC,INSTI,0.0,28262639.363636367
TAF_FTC_EVG_c,INSTI,0.0,28262639.363636367
TAF_FTC_RPV,NNRTI,0.0,28262639.363636367
TAF_FTC__DOR,NNRTI,0.0,28262639.363636367
TAF_FTC__DRV_c,PI,0.0,28262639.363636367
TAF_FTC__DRV_r,PI,0.0,28262639.363636367
TAF_FTC__DTG,INSTI,0.0,28262639.363636367
TAF_FTC__RAL,INSTI,0.0,28262639.363636367
TAF_FTC__RPV,NNRTI,0.0,28262639.363636367
TAF__DRV_c,PI,6.666666666666667e-05,28262639.363636367
TDF_FTC_EVG_c,INSTI,0.05176666666666667,28262639.363636367
TDF_FTC_RPV,NNRTI,0.0226,28262639.363636367
TDF_FTC__ATV_r,PI,0.026933333333333333,28262639.363636367
TDF_FTC__DOR,NNRTI,0.0,28262639.363636367
TDF_FTC__DRV_c,PI,0.005033333333333333,28262639.363636367
TDF_FTC__DRV_r,PI,0.019933333333333334,28262639.363636367
TDF_FTC__DTG,INSTI,0.0519,28262639.363636367
TDF_FTC__EFV,NNRTI,0.04083333333333333,28262639.363636367
TDF_FTC__LPV_r,PI,0.021333333333333333,28262639.363636367
TDF_FTC__NVP,NNRTI,0.0419,28262639.363636367
TDF_FTC__RAL,INSTI,0.020066666666666667,28262639.363636367
TDF_FTC__RPV,NNRTI,0.0007333333333333333,28262639.363636367
3TC_ABC__DRV_c,PI,0.007066666666666666,29059721.14848485
3TC_ABC__DRV_r,PI,0.029233333333333333,29059721.14848485
3TC__DRV_c,PI,0.0072,29059721.14848485
3TC__DRV_r,PI,0.030766666666666668,29059721.14848485
3TC__DTG,INSTI,0.0698,29059721.14848485
3TC__FTC__DRV_c,PI,0.0016333333333333334,29059721.14848485
3TC__FTC__DRV_r,PI,0.003533333333333333,29059721.14848485
ABC_3TC_DTG,INSTI,0.06476666666666667,29059721.14848485
ABC_3TC__ATV_r,PI,0.0394,29059721.14848485
ABC_3TC__DRV_r,PI,0.028766666666666666,29059721.14848485
ABC_3TC__DTG,INSTI,0.07033333333333333,29059721.14848485
ABC_3TC__EFV,NNRTI,0.04423333333333333,29059721.14848485
ABC_3TC__LPV_r,PI,0.025366666666666666,29059721.14848485
